,hex_id,value,geometry
18,88344136adfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.671340078171824, 28.31749751778407), (-16.67638891047988, 28.314844840635477), (-16.67637434933259, 28.309693133179504), (-16.671311548517586, 28.307194205265592), (-16.66626310704428, 28.30984666739612), (-16.666277075562164, 28.314998272435755), (-16.671340078171824, 28.31749751778407))]}"
19,88344cd91bfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.57535701937369, 28.357554511786738), (-16.58040905125294, 28.35490589243211), (-16.58040011044166, 28.349754383654467), (-16.57533973048967, 28.347251598300794), (-16.57028809151485, 28.34990000383461), (-16.570296439598824, 28.355051408520108), (-16.57535701937369, 28.357554511786738))]}"
20,88344cc859fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.539796920558516, 28.226737507331265), (-16.54484177215612, 28.224090389292723), (-16.544834926166036, 28.218941919465323), (-16.539783819391317, 28.216440672181886), (-16.534739360162508, 28.219087576264254), (-16.534745615350907, 28.224235941563485), (-16.539796920558516, 28.226737507331265))]}"
21,88344cca5bfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.499451953636477, 28.273650737906923), (-16.504499861446654, 28.27100532300551), (-16.504495373666426, 28.265856322887977), (-16.499443569329788, 28.263352842919254), (-16.494396055022413, 28.265998044489052), (-16.494399951560304, 28.271146939336457), (-16.499451953636477, 28.273650737906923))]}"
22,88344cd111fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.408535610245806, 28.4139311582277), (-16.41359238898123, 28.411289627026477), (-16.413593223359037, 28.40613877266133), (-16.408537871710976, 28.40362955645815), (-16.40348148934865, 28.40627087587764), (-16.403480062273033, 28.41142162325934), (-16.408535610245806, 28.4139311582277))]}"
23,88344cc8d1fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.50945201541373, 28.165399774452393), (-16.514493628335806, 28.162753942335414), (-16.51448856173123, 28.15760706264854), (-16.509442472052758, 28.155106120018175), (-16.504401251489984, 28.15775173826397), (-16.504405728257716, 28.16289851298858), (-16.50945201541373, 28.165399774452393))]}"
24,88346a6e25fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.180778235133022, 28.532575579205773), (-16.185843788566753, 28.529943829910216), (-16.1858579845091, 28.52479313206929), (-16.180807220207285, 28.52227429447434), (-16.175742068240847, 28.52490583496189), (-16.175727279121393, 28.53005642182983), (-16.180778235133022, 28.532575579205773))]}"
25,88344cd145fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.43382105079869, 28.452235616687698), (-16.438879811092583, 28.449593026210216), (-16.438879162951263, 28.444441135425784), (-16.43382034786412, 28.441931941700197), (-16.428761983840808, 28.44457432027338), (-16.428762038645743, 28.449726104453724), (-16.43382105079869, 28.452235616687698))]}"
26,88344cc8cbfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.519556495425235, 28.180696480327907), (-16.52459889300235, 28.178050220395455), (-16.524593234530776, 28.172902915809324), (-16.519545768582688, 28.170401975944145), (-16.514503763322473, 28.173048021956685), (-16.51450883170477, 28.178195221731567), (-16.519556495425235, 28.180696480327907))]}"
27,88344ccb01fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.605510057318796, 28.264397929947226), (-16.610556462600858, 28.26174803613982), (-16.61054576591625, 28.256598098900838), (-16.60548925557359, 28.254098158910804), (-16.60044324182837, 28.25674783820034), (-16.60045334690007, 28.261897671974957), (-16.605510057318796, 28.264397929947226))]}"
28,88344cc88bfffff,0,"{'type': 'Polygon', 'coordinates': [((-16.524576263085734, 28.157461642106735), (-16.529617284780578, 28.154815174128224), (-16.5296113343793, 28.149668297645867), (-16.524564952095947, 28.14716799381569), (-16.51952432242224, 28.149814247727466), (-16.519529683022046, 28.15496101951341), (-16.524576263085734, 28.157461642106735))]}"
29,88344ccd07fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.504347571075627, 28.09599879857848), (-16.509385258717195, 28.093353194661905), (-16.509380494559828, 28.08820781666332), (-16.50433863165628, 28.08570814751696), (-16.49930133584625, 28.088353537341735), (-16.49930551111957, 28.093498810381952), (-16.504347571075627, 28.09599879857848))]}"
30,88344c5061fffff,0,"{'type': 'Polygon', 'coordinates': [((-16.62526684596214, 28.06332039625976), (-16.630301558951132, 28.0606697253615), (-16.630289732969647, 28.055523750401385), (-16.62524378301847, 28.05302854918831), (-16.62020945943243, 28.055679004557437), (-16.620220696405582, 28.06082487664597), (-16.62526684596214, 28.06332039625976))]}"
