,hex_id,value,geometry
15,87344cd8cffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.499514898567075, 28.350898299890083), (-16.509614594701286, 28.34045669902858), (-16.504549261727018, 28.327651242801554), (-16.489387979348404, 28.32528663843408), (-16.47928847615604, 28.33572600808319), (-16.48435006159214, 28.34853221298111), (-16.499514898567075, 28.350898299890083))]}"
16,87344c505ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.584945293426053, 28.063934854789732), (-16.595005574640467, 28.053491125644655), (-16.589942540715594, 28.04070427657122), (-16.5748229416106, 28.038360391867013), (-16.564762838023317, 28.048801882326316), (-16.569822155109577, 28.061589495845755), (-16.584945293426053, 28.063934854789732))]}"
17,87344130dffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.798064347091753, 28.385096886229814), (-16.808144813956382, 28.37462622641197), (-16.803027818911907, 28.361821960903008), (-16.787834084059046, 28.359487575718884), (-16.777753760744986, 28.369956004678127), (-16.782867027910353, 28.38276104935348), (-16.798064347091753, 28.385096886229814))]}"
18,87344cd33ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.403464353392277, 28.468086615966), (-16.413584875176763, 28.45765193594735), (-16.408528822667645, 28.44483842886816), (-16.393356012257836, 28.442458865687698), (-16.383235699868557, 28.452891317763033), (-16.388287987686752, 28.465705560629708), (-16.403464353392277, 28.468086615966))]}"
19,87344cd1dffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.373158302020308, 28.39121201408271), (-16.383272278929013, 28.38078170676439), (-16.378225709300008, 28.367972535661025), (-16.363068922304986, 28.36559293711734), (-16.35295515944105, 28.376021014601452), (-16.357997968723776, 28.388830920130566), (-16.373158302020308, 28.39121201408271))]}"
20,87344cc23ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.36816176455891, 28.30631573824657), (-16.37826635840102, 28.295887569333463), (-16.37322549435162, 28.28308352487101), (-16.358083789117124, 28.28070691306653), (-16.34797940973128, 28.29113284998162), (-16.35301652032263, 28.30393763036624), (-16.36816176455891, 28.30631573824657))]}"
21,87344cc8affffff,0,"{'type': 'Polygon', 'coordinates': [((-16.564930967580366, 28.156872509103348), (-16.57500340532509, 28.14642867176501), (-16.569938353245107, 28.13363581035507), (-16.554804588797307, 28.131286025811594), (-16.544732332357288, 28.141727626850432), (-16.549793658254412, 28.15452124840214), (-16.564930967580366, 28.156872509103348))]}"
22,87344cd35ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.373090944113635, 28.499385999786202), (-16.383217387805978, 28.48895364954864), (-16.37816461047089, 28.476137963923264), (-16.362989158260277, 28.473753896357053), (-16.352862929152664, 28.484184019550707), (-16.357911936864376, 28.4970004370216), (-16.373090944113635, 28.499385999786202))]}"
23,87346a6d0ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.256741188095898, 28.49307639305971), (-16.26687572102497, 28.48265535687485), (-16.261842772917007, 28.469838919035837), (-16.24667906871202, 28.46744279731499), (-16.236544769625063, 28.47786160667978), (-16.24157394009999, 28.490678764250955), (-16.256741188095898, 28.49307639305971))]}"
24,87344131affffff,0,"{'type': 'Polygon', 'coordinates': [((-16.919503383378053, 28.36763899932372), (-16.929572286859386, 28.357157224250663), (-16.924436150944377, 28.344355438317717), (-16.90923482776492, 28.342034634859925), (-16.899166047592274, 28.352514178533934), (-16.90429846646255, 28.36531675674002), (-16.919503383378053, 28.36763899932372))]}"
