,Spot,lat,lng,cat,hex_id_7,geometry_7,hex_id_8,geometry_8,centr7_lat,centr7_lng,centr8_lat,centr8_lng,Atracciones naturales,Cultural,Golf,Parques y ocio,Playas destacadas,Transporte,Zonas comerciales
23,Playa de Troya,28.068391557350207,-16.73286541245233,Playas destacadas,87344c5a4ffffff,"{'type': 'Polygon', 'coordinates': [((-16.746324007039178, 28.076847951504472), (-16.756373284196336, 28.06638872086829), (-16.751282741495515, 28.053602764673748), (-16.7361466266255, 28.0512752577632), (-16.72609750055084, 28.061732249789266), (-16.73118433745175, 28.074518987008574), (-16.746324007039178, 28.076847951504472))]}",88344c5a4bfffff,"{'type': 'Polygon', 'coordinates': [((-16.731166612769062, 28.069371667562784), (-16.73620066940891, 28.06671655480766), (-16.736182653042864, 28.061569347334128), (-16.731131169616674, 28.059077353679335), (-16.72609750055084, 28.061732249789266), (-16.726114927347854, 28.06687935617632), (-16.731166612769062, 28.069371667562784))]}",28.06406123271131,-16.741234526035043,28.064224456426487,-16.7311488901575,0,0,0,0,1,0,0
24,Lago martianez,28.42028619731118,-16.542940145566995,Playas destacadas,87344cdb5ffffff,"{'type': 'Polygon', 'coordinates': [((-16.550194281048185, 28.442926332768113), (-16.560300657664726, 28.432478090908276), (-16.55522156495662, 28.41966760810706), (-16.540039846417688, 28.417304615022015), (-16.529933654737786, 28.427750627913404), (-16.535008995846997, 28.440561862527986), (-16.550194281048185, 28.442926332768113))]}",88344cdb53fffff,"{'type': 'Polygon', 'coordinates': [((-16.54005300757757, 28.42760958667573), (-16.5451093920587, 28.42496247564743), (-16.54510251471926, 28.419809937443464), (-16.540039846417688, 28.417304615022015), (-16.5349838560971, 28.419951512891675), (-16.534990139928897, 28.42510394631863), (-16.54005300757757, 28.42760958667573))]}",28.430115116565958,-16.545116270204804,28.422457049473095,-16.54004642661175,0,0,0,0,1,0,0
25,Playa de la tejita,28.031978257792503,-16.556628624514396,Playas destacadas,87344c52affffff,"{'type': 'Polygon', 'coordinates': [((-16.564762838023317, 28.048801882326316), (-16.5748229416106, 28.038360391867013), (-16.569764127270318, 28.025574289779705), (-16.554648925605388, 28.02322891513007), (-16.544589002905244, 28.03366816656205), (-16.5496441001799, 28.04645503134086), (-16.564762838023317, 28.048801882326316))]}",88344c52a3fffff,"{'type': 'Polygon', 'coordinates': [((-16.554663734226, 28.033518010030974), (-16.559697395716725, 28.030870313296266), (-16.559689697258573, 28.02572571384397), (-16.554648925605388, 28.02322891513007), (-16.549615654503317, 28.025876396980088), (-16.549622764676943, 28.031020892405962), (-16.554663734226, 28.033518010030974))]}",28.036015021584404,-16.559705095073838,28.028373408144375,-16.55465632948343,0,0,0,0,1,0,0
26,Playa de benijo,28.572183078863546,-16.192572027270366,Playas destacadas,87346a61bffffff,"{'type': 'Polygon', 'coordinates': [((-16.19077007355638, 28.578824429231712), (-16.200919483630805, 28.568408218875422), (-16.195892674620055, 28.55558603905959), (-16.180720244573386, 28.55317935854107), (-16.170571079746427, 28.563593344552974), (-16.17559409891843, 28.576416235092317), (-16.19077007355638, 28.578824429231712))]}",88346a61bdfffff,"{'type': 'Polygon', 'coordinates': [((-16.19077007355638, 28.578824429231712), (-16.19583821584234, 28.576192293391813), (-16.195851832934185, 28.57104057930285), (-16.190797901605713, 28.568521111893222), (-16.18573016103478, 28.571153039001327), (-16.185715950089737, 28.576304642228276), (-16.19077007355638, 28.578824429231712))]}",28.566001536051456,-16.18574437031169,28.573672720442357,-16.19078398839777,0,0,0,0,1,0,0
27,La milla de oro,28.055725450752945,-16.734153916740453,Zonas comerciales,87344c5a4ffffff,"{'type': 'Polygon', 'coordinates': [((-16.746324007039178, 28.076847951504472), (-16.756373284196336, 28.06638872086829), (-16.751282741495515, 28.053602764673748), (-16.7361466266255, 28.0512752577632), (-16.72609750055084, 28.061732249789266), (-16.73118433745175, 28.074518987008574), (-16.746324007039178, 28.076847951504472))]}",88344c5a43fffff,"{'type': 'Polygon', 'coordinates': [((-16.736182653042864, 28.061569347334128), (-16.741216215938177, 28.05891402896642), (-16.741197907980606, 28.053766933696696), (-16.7361466266255, 28.0512752577632), (-16.73111345114624, 28.053930359401), (-16.731131169616674, 28.059077353679335), (-16.736182653042864, 28.061569347334128))]}",28.06406123271131,-16.741234526035043,28.056422248292755,-16.736164638781858,0,0,0,0,0,0,1
28,Centro comercial la villa,28.395716234472243,-16.54741087440404,Zonas comerciales,87344cdb1ffffff,"{'type': 'Polygon', 'coordinates': [((-16.55522156495662, 28.41966760810706), (-16.565324880055474, 28.409219338817636), (-16.560246293423685, 28.396410306350635), (-16.545068140116985, 28.39404878995081), (-16.534965009022596, 28.404494829662983), (-16.540039846417688, 28.417304615022015), (-16.55522156495662, 28.41966760810706))]}",88344cdb13fffff,"{'type': 'Polygon', 'coordinates': [((-16.545081887539475, 28.404352939921452), (-16.550136888162385, 28.401705610228166), (-16.55012971783686, 28.39655348292274), (-16.545068140116985, 28.39404878995081), (-16.54001353335653, 28.396695906338117), (-16.540020110464834, 28.40184792898055), (-16.545081887539475, 28.404352939921452))]}",28.406857840612407,-16.550144059328723,28.39920081337824,-16.545075013425254,0,0,0,0,0,0,1
29,Centro comercial meridiano,28.45694457369521,-16.2586391749638,Zonas comerciales,87346a6d3ffffff,"{'type': 'Polygon', 'coordinates': [((-16.261842772917007, 28.469838919035837), (-16.271974239227962, 28.45941782006166), (-16.266941769261127, 28.44660282714102), (-16.251781607444045, 28.44420821203566), (-16.24165037400648, 28.454627083569928), (-16.24667906871202, 28.46744279731499), (-16.261842772917007, 28.469838919035837))]}",88346a6d31fffff,"{'type': 'Polygon', 'coordinates': [((-16.25680137492342, 28.46217335359515), (-16.26186223658814, 28.45953830544011), (-16.26187196671205, 28.45438815168113), (-16.256821427790054, 28.451873155658774), (-16.251760965613666, 28.454507993886416), (-16.251750642883145, 28.459658038041212), (-16.25680137492342, 28.46217335359515))]}",28.457023203582228,-16.25681140194458,28.457023203582228,-16.256811401944574,0,0,0,0,0,0,1
30,Siam mall,28.069587850158406,-16.72210106092201,Zonas comerciales,87344124bffffff,"{'type': 'Polygon', 'coordinates': [((-16.721132175783016, 28.084976025899863), (-16.73118433745175, 28.074518987008574), (-16.72609750055084, 28.061732249789266), (-16.71096220955892, 28.059401772934383), (-16.70091020315603, 28.0698565734511), (-16.705993331668182, 28.082644088869475), (-16.721132175783016, 28.084976025899863))]}",88344124b5fffff,"{'type': 'Polygon', 'coordinates': [((-16.72614978705164, 28.077173893909194), (-16.73118433745175, 28.074518987008574), (-16.731166612769062, 28.069371667562784), (-16.726114927347854, 28.06687935617632), (-16.721080764679755, 28.069534046516477), (-16.72109789971153, 28.074681264780704), (-16.72614978705164, 28.077173893909194))]}",28.0721885273798,-16.716046402219025,28.072026570909518,-16.726132356181335,0,0,0,0,0,0,1
31,Centro comercial parque santiago,628.058616054029,-16.720738703249484,Zonas comerciales,87f294a33ffffff,"{'type': 'Polygon', 'coordinates': [((162.86204899330096, -88.04135276035733), (162.70362316110928, -88.05314724475068), (162.93423333955428, -88.06330917127003), (163.32455284003913, -88.0616004271188), (163.47987839363824, -88.04974699843048), (163.24801725559968, -88.0396611034393), (162.86204899330096, -88.04135276035733))]}",88f294a333fffff,"{'type': 'Polygon', 'coordinates': [((163.23608812380095, -88.0524461913761), (163.1358473986381, -88.05607306538803), (163.1798184337282, -88.06065341384574), (163.32455284003913, -88.0616004271188), (163.4247268239326, -88.05796216020337), (163.38023467267845, -88.05338828769764), (163.23608812380095, -88.0524461913761))]}",-88.05149181264359,163.09208526825816,-88.05702377075092,163.2802151915328,0,0,0,0,0,0,1
32,Alcampo la laguna,28.462931866487924,-16.306289503238585,Zonas comerciales,87344cd21ffffff,"{'type': 'Polygon', 'coordinates': [((-16.30734473378442, 28.477018252294698), (-16.317473589139407, 28.46659263965709), (-16.312433093394816, 28.45377764986052), (-16.297267514037777, 28.451387546917235), (-16.287138884056315, 28.461810932143358), (-16.292175607255466, 28.474626647390437), (-16.30734473378442, 28.477018252294698))]}",88344cd211fffff,"{'type': 'Polygon', 'coordinates': [((-16.302297973688486, 28.46935333351006), (-16.30735886434515, 28.4667163505705), (-16.307365928382637, 28.461565552611212), (-16.30231269470402, 28.45905184641486), (-16.297252202799378, 28.461688618956718), (-16.297244545833404, 28.466839308070004), (-16.302297973688486, 28.46935333351006))]}",28.464202538963054,-16.302305334627864,28.464202538963058,-16.302305334627864,0,0,0,0,0,0,1
33,Centro comercial del duque,28.091040402502376,-16.73914753690647,Zonas comerciales,87344124affffff,"{'type': 'Polygon', 'coordinates': [((-16.741362756645245, 28.100094689537784), (-16.751415070295117, 28.08963541262698), (-16.746324007039178, 28.076847951504472), (-16.73118433745175, 28.074518987008574), (-16.721132175783016, 28.084976025899863), (-16.7262195309082, 28.097764266979063), (-16.741362756645245, 28.100094689537784))]}",88344124adfffff,"{'type': 'Polygon', 'coordinates': [((-16.741362756645245, 28.100094689537784), (-16.746398470102346, 28.097439132810056), (-16.746379851072565, 28.092291175463384), (-16.74132610862214, 28.08979887577492), (-16.73629078282747, 28.092454215869324), (-16.736308811831446, 28.097602072262628), (-16.741362756645245, 28.100094689537784))]}",28.087306467430064,-16.736272755930745,28.094946728697664,-16.741344431562727,0,0,0,0,0,0,1
